bpm,milliseconds_per_beat,calculation
40,1500,60000/40
45,1333.33,60000/45
50,1200,60000/50
55,1090.91,60000/55
60,1000,60000/60
65,923.08,60000/65
70,857.14,60000/70
75,800,60000/75
80,750,60000/80
85,705.88,60000/85
90,666.67,60000/90
95,631.58,60000/95
100,600,60000/100
105,571.43,60000/105
110,545.45,60000/110
115,521.74,60000/115
120,500,60000/120
125,480,60000/125
130,461.54,60000/130
135,444.44,60000/135
140,428.57,60000/140
145,413.79,60000/145
150,400,60000/150
155,387.1,60000/155
160,375,60000/160
165,363.64,60000/165
170,352.94,60000/170
175,342.86,60000/175
180,333.33,60000/180
185,324.32,60000/185
190,315.79,60000/190
195,307.69,60000/195
200,300,60000/200
205,292.68,60000/205
210,285.71,60000/210
215,279.07,60000/215
220,272.73,60000/220
225,266.67,60000/225
230,260.87,60000/230
235,255.32,60000/235
240,250,60000/240
